month,count,snapshot_date,source_url,month_status
2025-09,807,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2025-10,841,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2025-11,1139,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2025-12,1906,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2026-01,1238,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2026-02,1231,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2026-03,1320,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2026-04,1662,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2026-05,1098,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2026-06,1219,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2026-07,996,2026-08-25,https://datacheck.co.il/trends/dissolved,complete
2026-08,697,2026-08-25,https://datacheck.co.il/trends/dissolved,partial
