month,count,snapshot_date,source_url,month_status
2025-09,1271,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2025-10,930,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2025-11,1318,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2025-12,1318,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2026-01,2249,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2026-02,1493,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2026-03,1480,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2026-04,1269,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2026-05,1429,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2026-06,1523,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2026-07,1310,2026-08-25,https://datacheck.co.il/trends/new-this-month,complete
2026-08,1072,2026-08-25,https://datacheck.co.il/trends/new-this-month,partial
